area,date,num_trip
5,2019-10-16,332
5,2019-10-17,427
5,2019-10-18,460
5,2019-10-19,569
5,2019-10-20,503
5,2019-10-21,288
5,2019-10-22,284
5,2019-10-23,383
5,2019-10-24,354
5,2019-10-25,446
5,2019-10-26,454
5,2019-10-27,437
5,2019-10-28,283
5,2019-10-29,340
5,2019-10-30,267
5,2019-10-31,319
5,2019-11-01,546
5,2019-11-02,449
5,2019-11-03,441
5,2019-11-04,261
5,2019-11-05,308
5,2019-11-06,344
5,2019-11-07,398
5,2019-11-08,418
5,2019-11-09,515
5,2019-11-10,462
5,2019-11-11,264
5,2019-11-12,407
5,2019-11-13,315
5,2019-11-14,449
5,2019-11-15,464
5,2019-11-16,435
5,2019-11-17,390
5,2019-11-18,276
5,2019-11-19,334
5,2019-11-20,347
5,2019-11-21,372
5,2019-11-22,477
5,2019-11-23,536
5,2019-11-24,393
5,2019-11-25,277
5,2019-11-26,342
5,2019-11-27,291
5,2019-11-28,254
5,2019-11-29,218
5,2019-11-30,322
5,2019-12-01,370
5,2019-12-02,304
5,2019-12-03,332
5,2019-12-04,349
5,2019-12-05,493
5,2019-12-06,557
5,2019-12-07,556
5,2019-12-08,410
5,2019-12-09,305
5,2019-12-10,382
5,2019-12-11,351
5,2019-12-12,488
5,2019-12-13,576
5,2019-12-14,603
5,2019-12-15,420
5,2019-12-16,332
5,2019-12-17,357
5,2019-12-18,400
5,2019-12-19,449
5,2019-12-20,512
5,2019-12-21,466
5,2019-12-22,370
5,2019-12-23,245
5,2019-12-24,217
5,2019-12-25,103
5,2019-12-26,192
5,2019-12-27,296
5,2019-12-28,365
5,2019-12-29,338
5,2019-12-30,211
5,2019-12-31,314
6,2019-09-01,1758
6,2019-09-02,1283
6,2019-09-03,4956
6,2019-09-04,5022
6,2019-09-05,5985
6,2019-09-06,5102
6,2019-09-07,2152
6,2019-09-08,1512
6,2019-09-09,4716
6,2019-09-10,5582
6,2019-09-11,6054
6,2019-09-12,5551
6,2019-09-13,5769
6,2019-09-14,2623
6,2019-09-15,1762
6,2019-09-16,4938
6,2019-09-17,5366
6,2019-09-18,5821
6,2019-09-19,6159
6,2019-09-20,5878
6,2019-09-21,2696
6,2019-09-22,1713
6,2019-09-23,4786
6,2019-09-24,5369
6,2019-09-25,5753
6,2019-09-26,5934
